{'hp': 45, 'atk': 49, 'def': 49, 'spa': 65, 'spd': 65, 'spe': 45}
{'hp': 90, 'atk': 130, 'def': 80, 'spa': 65, 'spd': 85, 'spe': 55}
{'hp': 50, 'atk': 75, 'def': 35, 'spa': 70, 'spd': 30, 'spe': 40}
{'hp': 65, 'atk': 90, 'def': 50, 'spa': 85, 'spd': 45, 'spe': 55}
{'hp': 80, 'atk': 105, 'def': 65, 'spa': 100, 'spd': 70, 'spe': 70}
{'hp': 40, 'atk': 40, 'def': 35, 'spa': 50, 'spd': 100, 'spe': 70}
{'hp': 80, 'atk': 70, 'def': 65, 'spa': 80, 'spd': 120, 'spe': 100}
{'hp': 40, 'atk': 80, 'def': 100, 'spa': 30, 'spd': 30, 'spe': 20}
{'hp': 55, 'atk': 95, 'def': 115, 'spa': 45, 'spd': 45, 'spe': 35}
{'hp': 80, 'atk': 120, 'def': 130, 'spa': 55, 'spd': 65, 'spe': 45}
{'hp': 50, 'atk': 85, 'def': 55, 'spa': 65, 'spd': 65, 'spe': 90}
{'hp': 65, 'atk': 100, 'def': 70, 'spa': 80, 'spd': 80, 'spe': 105}
{'hp': 90, 'atk': 65, 'def': 65, 'spa': 40, 'spd': 40, 'spe': 15}
{'hp': 95, 'atk': 75, 'def': 110, 'spa': 100, 'spd': 80, 'spe': 30}
{'hp': 25, 'atk': 35, 'def': 70, 'spa': 95, 'spd': 55, 'spe': 45}
{'hp': 50, 'atk': 60, 'def': 95, 'spa': 120, 'spd': 70, 'spe': 70}
{'hp': 52, 'atk': 90, 'def': 55, 'spa': 58, 'spd': 62, 'spe': 60}
{'hp': 35, 'atk': 85, 'def': 45, 'spa': 35, 'spd': 35, 'spe': 75}
{'hp': 60, 'atk': 110, 'def': 70, 'spa': 60, 'spd': 60, 'spe': 110}
{'hp': 65, 'atk': 45, 'def': 55, 'spa': 45, 'spd': 70, 'spe': 45}
{'hp': 90, 'atk': 70, 'def': 80, 'spa': 70, 'spd': 95, 'spe': 70}
{'hp': 80, 'atk': 80, 'def': 50, 'spa': 40, 'spd': 50, 'spe': 25}
{'hp': 105, 'atk': 105, 'def': 75, 'spa': 65, 'spd': 100, 'spe': 50}
{'hp': 30, 'atk': 65, 'def': 100, 'spa': 45, 'spd': 25, 'spe': 40}
{'hp': 50, 'atk': 95, 'def': 180, 'spa': 85, 'spd': 45, 'spe': 70}
{'hp': 30, 'atk': 35, 'def': 30, 'spa': 100, 'spd': 35, 'spe': 80}
{'hp': 45, 'atk': 50, 'def': 45, 'spa': 115, 'spd': 55, 'spe': 95}
{'hp': 60, 'atk': 65, 'def': 60, 'spa': 130, 'spd': 75, 'spe': 110}
{'hp': 35, 'atk': 45, 'def': 160, 'spa': 30, 'spd': 45, 'spe': 70}
{'hp': 60, 'atk': 48, 'def': 45, 'spa': 43, 'spd': 90, 'spe': 42}
{'hp': 85, 'atk': 73, 'def': 70, 'spa': 73, 'spd': 115, 'spe': 67}
{'hp': 30, 'atk': 105, 'def': 90, 'spa': 25, 'spd': 25, 'spe': 50}
{'hp': 55, 'atk': 130, 'def': 115, 'spa': 50, 'spd': 50, 'spe': 75}
{'hp': 40, 'atk': 30, 'def': 50, 'spa': 55, 'spd': 55, 'spe': 100}
{'hp': 60, 'atk': 50, 'def': 70, 'spa': 80, 'spd': 80, 'spe': 150}
{'hp': 60, 'atk': 40, 'def': 80, 'spa': 60, 'spd': 45, 'spe': 40}
{'hp': 95, 'atk': 95, 'def': 85, 'spa': 125, 'spd': 75, 'spe': 55}
{'hp': 50, 'atk': 50, 'def': 95, 'spa': 40, 'spd': 50, 'spe': 35}
{'hp': 60, 'atk': 80, 'def': 110, 'spa': 50, 'spd': 80, 'spe': 45}
{'hp': 50, 'atk': 120, 'def': 53, 'spa': 35, 'spd': 110, 'spe': 87}
{'hp': 50, 'atk': 105, 'def': 79, 'spa': 35, 'spd': 110, 'spe': 76}
{'hp': 90, 'atk': 55, 'def': 75, 'spa': 60, 'spd': 75, 'spe': 30}
{'hp': 40, 'atk': 65, 'def': 95, 'spa': 60, 'spd': 45, 'spe': 35}
{'hp': 65, 'atk': 90, 'def': 120, 'spa': 85, 'spd': 70, 'spe': 60}
{'hp': 80, 'atk': 85, 'def': 95, 'spa': 30, 'spd': 30, 'spe': 25}
{'hp': 105, 'atk': 130, 'def': 120, 'spa': 45, 'spd': 45, 'spe': 40}
{'hp': 250, 'atk': 5, 'def': 5, 'spa': 35, 'spd': 105, 'spe': 50}
{'hp': 65, 'atk': 55, 'def': 115, 'spa': 100, 'spd': 40, 'spe': 60}
{'hp': 105, 'atk': 95, 'def': 80, 'spa': 40, 'spd': 80, 'spe': 90}
{'hp': 30, 'atk': 40, 'def': 70, 'spa': 70, 'spd': 25, 'spe': 60}
{'hp': 55, 'atk': 65, 'def': 95, 'spa': 95, 'spd': 45, 'spe': 85}
{'hp': 45, 'atk': 67, 'def': 60, 'spa': 35, 'spd': 50, 'spe': 63}
{'hp': 80, 'atk': 92, 'def': 65, 'spa': 65, 'spd': 80, 'spe': 68}
{'hp': 30, 'atk': 45, 'def': 55, 'spa': 70, 'spd': 55, 'spe': 85}
{'hp': 60, 'atk': 75, 'def': 85, 'spa': 100, 'spd': 85, 'spe': 115}
{'hp': 40, 'atk': 45, 'def': 65, 'spa': 100, 'spd': 120, 'spe': 90}
{'hp': 70, 'atk': 110, 'def': 80, 'spa': 55, 'spd': 80, 'spe': 105}
{'hp': 65, 'atk': 50, 'def': 35, 'spa': 115, 'spd': 95, 'spe': 95}
{'hp': 65, 'atk': 83, 'def': 57, 'spa': 95, 'spd': 85, 'spe': 105}
{'hp': 65, 'atk': 95, 'def': 57, 'spa': 100, 'spd': 85, 'spe': 93}
{'hp': 65, 'atk': 125, 'def': 100, 'spa': 55, 'spd': 70, 'spe': 85}
{'hp': 75, 'atk': 100, 'def': 95, 'spa': 40, 'spd': 70, 'spe': 110}
{'hp': 20, 'atk': 10, 'def': 55, 'spa': 15, 'spd': 20, 'spe': 80}
{'hp': 95, 'atk': 125, 'def': 79, 'spa': 60, 'spd': 100, 'spe': 81}
{'hp': 130, 'atk': 85, 'def': 80, 'spa': 85, 'spd': 95, 'spe': 60}
{'hp': 48, 'atk': 48, 'def': 48, 'spa': 48, 'spd': 48, 'spe': 48}
{'hp': 55, 'atk': 55, 'def': 50, 'spa': 45, 'spd': 65, 'spe': 55}
{'hp': 130, 'atk': 65, 'def': 60, 'spa': 110, 'spd': 95, 'spe': 65}
{'hp': 65, 'atk': 65, 'def': 60, 'spa': 110, 'spd': 95, 'spe': 130}
{'hp': 65, 'atk': 130, 'def': 60, 'spa': 95, 'spd': 110, 'spe': 65}
{'hp': 65, 'atk': 60, 'def': 70, 'spa': 85, 'spd': 75, 'spe': 40}
{'hp': 35, 'atk': 40, 'def': 100, 'spa': 90, 'spd': 55, 'spe': 35}
{'hp': 70, 'atk': 60, 'def': 125, 'spa': 115, 'spd': 70, 'spe': 55}
{'hp': 30, 'atk': 80, 'def': 90, 'spa': 55, 'spd': 45, 'spe': 55}
{'hp': 60, 'atk': 115, 'def': 105, 'spa': 65, 'spd': 70, 'spe': 80}
{'hp': 80, 'atk': 105, 'def': 65, 'spa': 60, 'spd': 75, 'spe': 130}
{'hp': 160, 'atk': 110, 'def': 65, 'spa': 65, 'spd': 110, 'spe': 30}
{'hp': 90, 'atk': 85, 'def': 100, 'spa': 95, 'spd': 125, 'spe': 85}
{'hp': 90, 'atk': 90, 'def': 85, 'spa': 125, 'spd': 90, 'spe': 100}
{'hp': 90, 'atk': 100, 'def': 90, 'spa': 125, 'spd': 85, 'spe': 90}
{'hp': 41, 'atk': 64, 'def': 45, 'spa': 50, 'spd': 50, 'spe': 50}
{'hp': 61, 'atk': 84, 'def': 65, 'spa': 70, 'spd': 70, 'spe': 70}
{'hp': 91, 'atk': 134, 'def': 95, 'spa': 100, 'spd': 100, 'spe': 80}
{'hp': 106, 'atk': 110, 'def': 90, 'spa': 154, 'spd': 90, 'spe': 130}
{'hp': 100, 'atk': 100, 'def': 100, 'spa': 100, 'spd': 100, 'spe': 100}
